Opposition,Span,Mat,Won,Lost,Tied,NR,%
v Afghanistan,2012-2014,2,2,0,0,0,100
v Australia,1975-2017,98,32,62,1,3,34.21
v Bangladesh,1986-2015,35,31,4,0,0,88.57
v Canada,1979-2011,2,2,0,0,0,100
v England,1974-2017,82,31,49,0,2,38.75
v Hong Kong,2004-2008,2,2,0,0,0,100
v India,1978-2017,129,73,52,0,4,58.4
v Ireland,2007-2016,7,5,1,1,0,78.57
v Kenya,1996-2011,6,6,0,0,0,100
v Namibia,2003-2003,1,1,0,0,0,100
v Netherlands,1996-2003,3,3,0,0,0,100
v New Zealand,1973-2018,103,53,47,1,2,52.97
v Scotland,1999-2013,3,3,0,0,0,100
v South Africa,1992-2017,73,25,47,0,1,34.72
v Sri Lanka,1975-2017,153,90,58,1,4,60.73
v United Arab Emirates,1994-2015,3,3,0,0,0,100
v West Indies,1975-2017,133,60,70,3,0,46.24
v Zimbabwe,1992-2015,54,47,4,1,2,91.34
